metric,n,r2,b_const,p_const,b_group,p_group,b_is_repeat,p_is_repeat,b_university_admission_year,p_university_admission_year,b_hs_graduation_year,p_hs_graduation_year,error
overall_volatility,67,0.15171979760316678,-17.20665779212346,0.8021139732717413,0.24593350349634072,0.1335541357717108,0.34033254641375826,0.028917207113155048,-0.0184797596459268,0.6995547624300016,0.02753069404577461,0.5129367126891191,
overall_mean,67,0.4843559905193917,189.05713589888867,0.25600726618916403,0.010939027499918375,0.9801705385983106,1.2319749302093341,0.00044519316370696176,0.007147639399871442,0.9581357906356006,-0.09903520017994313,0.3728534927229219,
rank_volatility,67,0.2560628901474711,129.7342472000426,0.003858478092621494,0.09548367956931217,0.5060735510182841,0.18782963034216227,0.040963210946351004,-0.0673157421113448,0.06811375197952081,0.003672117843823432,0.9186041889161864,
rank_mean,67,0.3480811811233132,-64.7695505897039,0.7581953607790453,0.12472273847320176,0.7981949244475782,1.3535428764394144,0.0006997884473029828,0.082733683095689,0.5875750452711713,-0.048981391211776706,0.6596070037696293,
grade1_volatility,67,0.219493223406229,91.043118282442,0.10853463321477795,0.6008262193783037,0.00036057326991146735,0.31805824869521515,0.03814819760696196,-0.03375414903488959,0.35826367679214954,-0.010951147240927989,0.7500538094610019,
grade1_mean,67,0.231328034881794,17.59032004829072,0.9393167548852026,0.19024832687216192,0.7164667372656601,1.156919343191579,0.0062170682721311155,0.03090023256333987,0.8650932117491572,-0.03800779217717182,0.7989403871116018,
grade2_volatility,67,0.10279698899883327,-12.368564251684443,0.9012010210105531,0.24553495487343102,0.1554307027351922,0.28017722502753395,0.058232208996888385,-0.00550547531595194,0.9305449906110547,0.012093534568272264,0.7485657905709103,
grade2_mean,67,0.3843674212699064,-63.26671396299329,0.7080368759060772,-0.130228258589194,0.7826579714503559,1.0682127795221272,0.0026978136033844282,0.12701069670356196,0.31199382788338337,-0.09401879165427192,0.3337194623809051,
grade3_volatility,67,0.09228482280604766,12.503540405727687,0.8874997931261649,0.18757337803341467,0.5116626046590692,0.39338613149553414,0.05102198989258174,-0.06295254525850005,0.22908839138111736,0.057296591455938066,0.2292101873452087,
grade3_mean,67,0.5514619937631682,566.5397763874909,0.0017972627597129772,-0.25194983996368475,0.6951571165293018,1.0728999622201454,0.010469422253252977,-0.1270850795984967,0.36253993996717127,-0.151413227056113,0.21404849968105133,
achievement_volatility,44,0.053018034854570684,-34.7828324268991,0.5852761295866377,-34.78283242690845,0.585276129586638,0.31258774565601405,0.32577432956994,-0.11336245453802765,0.6753636778591797,0.14797568151087345,0.5882693978105951,
achievement_mean,44,0.26261054407424766,-42.75128167637304,0.5214207053775539,-42.75128167638448,0.5214207053775549,1.0599158500922439,0.12199119148639538,-0.3314369745471514,0.494864620430962,0.3743704150068461,0.44183880142011533,
seteuk_length_mean,0,,,,,,,,,,,,표본 부족(OLS 최소 10행 권장)
